EmployeeNumber,Department,JobRole,MonthlyIncome,PerformanceRating,YearsAtCompany,Bonus,Deductions,NetSalary,PerformanceScore,Deduction
1,Sales,Sales Executive,5993.0,3.0,6.0,599.3000000000001,299.65000000000003,6292.650000000001,72.0,299.65000000000003
2,Research & Development,Research Scientist,5130.0,4.0,10.0,513.0,256.5,5386.5,100.0,256.5
4,Research & Development,Laboratory Technician,2090.0,3.0,0.0,209.0,104.5,2194.5,60.0,104.5
5,Research & Development,Research Scientist,2909.0,3.0,8.0,290.90000000000003,145.45000000000002,3054.4500000000003,76.0,145.45000000000002
7,Research & Development,Laboratory Technician,3468.0,3.0,2.0,346.8,173.4,3641.4,64.0,173.4
8,Research & Development,Laboratory Technician,3068.0,3.0,7.0,306.8,153.4,3221.4,74.0,153.4
10,Research & Development,Laboratory Technician,2670.0,4.0,1.0,267.0,133.5,2803.5,82.0,133.5
11,Research & Development,Laboratory Technician,2693.0,4.0,1.0,269.3,134.65,2827.65,82.0,134.65
12,Research & Development,Manufacturing Director,9526.0,4.0,9.0,952.6,476.3,10002.300000000001,98.0,476.3
13,Research & Development,Healthcare Representative,5237.0,3.0,7.0,523.7,261.85,5498.849999999999,74.0,261.85
14,Research & Development,Laboratory Technician,2426.0,3.0,5.0,242.6,121.3,2547.2999999999997,70.0,121.30000000000001
15,Research & Development,Laboratory Technician,4193.0,3.0,9.0,419.3,209.65,4402.650000000001,78.0,209.65
16,Research & Development,Research Scientist,2911.0,3.0,5.0,291.1,145.55,3056.5499999999997,70.0,145.55
18,Research & Development,Laboratory Technician,2661.0,3.0,2.0,266.1,133.05,2794.0499999999997,64.0,133.05
19,Research & Development,Laboratory Technician,2028.0,3.0,4.0,202.8,101.4,2129.4,68.0,101.4
20,Research & Development,Manufacturing Director,9980.0,3.0,10.0,998.0,499.0,10479.0,80.0,499.0
21,Research & Development,Research Scientist,3298.0,3.0,6.0,329.8,164.9,3462.9,72.0,164.9
22,Research & Development,Laboratory Technician,2935.0,3.0,1.0,293.5,146.75,3081.75,62.0,146.75
23,Sales,Manager,15427.0,3.0,25.0,1542.7,771.35,16198.35,110.0,771.35
24,Research & Development,Research Scientist,3944.0,3.0,3.0,394.4,197.2,4141.2,66.0,197.20000000000002
